Name,Total_CPU,Total_IO,Total_Network,Input_Size,Output_Size
hardware_threadlimit_get,0.6000000000000001,0.30000000000000004,0.15000000000000002,8,4
hardware_memlimit_set,1.2000000000000002,0.6000000000000001,0.30000000000000004,11,0
hardware_memlimit_get,1.6,0.8,0.4,4,8
memlimit_show,2.0,1.0,0.5,16,8
hardware_memlimit_show,2.4,1.2,0.6,8,0
hardware_init,2.6,1.3,0.65,8,0
coder_set_check,0.0,0.0,0.0,4,0
forget_filter_chain,0.25,0.15,0.1,8,0
coder_set_preset,0.25,0.15,0.1,4,0
coder_set_extreme,0.25,0.15,0.1,8,0
coder_add_filter,0.45,0.25,0.15000000000000002,12,8
coder_set_compression_settings,5.4,2.8,1.5,8,8
is_format_xz,5.4,2.8,1.5,8,1
is_format_lzma,6.65,3.4499999999999997,1.85,8,8
coder_init,9.25,4.75,2.5,8,8
coder_normal,12.9,6.6,3.45,8,8
coder_passthru,13.75,7.05,3.7,8,8
coder_run,15.15,7.75,4.05,8,8
io_init,0.0,0.0,0.0,8,0
io_no_sparse,0.0,0.0,0.0,8,0
io_unlink,0.6000000000000001,0.30000000000000004,0.15000000000000002,16,8
io_copy_attrs,1.4000000000000001,0.7000000000000001,0.35000000000000003,8,8
io_open_src_real,7.69,3.87,1.9600000000000002,8,8
io_open_src,8.09,4.07,2.06,8,8
io_close_src,8.49,4.2700000000000005,2.16,9,8
io_open_dest_real,11.290000000000001,5.670000000000001,2.8600000000000003,8,8
io_open_dest,11.290000000000001,5.670000000000001,2.8600000000000003,8,8
io_close_dest,12.290000000000001,6.170000000000001,3.1100000000000003,9,8
io_close,13.490000000000002,6.770000000000001,3.41,9,8
io_read,14.540000000000003,7.320000000000001,3.71,20,8
io_pread,15.140000000000002,7.620000000000001,3.86,24,8
is_sparse,15.590000000000002,7.870000000000001,4.01,8,8
io_write_buf,16.64,8.420000000000002,4.31,20,8
io_write,17.84,9.020000000000001,4.609999999999999,20,8
set_exit_status,0.2,0.1,0.05,4,0
set_exit_no_warn,0.2,0.1,0.05,8,0
read_name,2.25,1.1500000000000001,0.6000000000000001,8,8
main,6.15,3.1500000000000004,1.6500000000000001,12,8
parse_options,3.6500000000000004,1.95,1.05,32,8
options_delta,3.6500000000000004,1.95,1.05,8,8
options_bcj,3.6500000000000004,1.95,1.05,8,8
set_lzma,5.050000000000001,2.65,1.4000000000000001,28,8
options_lzma,5.65,2.95,1.5500000000000003,8,8
my_time,0.0,0.0,0.0,8,8
message_init,0.45,0.25,0.15000000000000002,8,0
message_verbosity_increase,0.65,0.35,0.2,8,0
message_verbosity_decrease,0.8500000000000001,0.44999999999999996,0.25,8,0
message_verbosity_get,0.8500000000000001,0.44999999999999996,0.25,8,4
message_set_files,0.8500000000000001,0.44999999999999996,0.25,4,0
print_filename,1.85,0.95,0.5,8,8
message_filename,2.25,1.15,0.6,8,8
message_progress_start,2.45,1.25,0.65,16,8
progress_percentage,2.6500000000000004,1.35,0.7000000000000001,8,8
progress_sizes,3.45,1.75,0.9000000000000001,17,8
progress_speed,4.300000000000001,2.2,1.1500000000000001,16,8
progress_time,4.9,2.5,1.3000000000000003,8,8
progress_remaining,7.1000000000000005,3.6,1.8500000000000003,16,8
progress_elapsed,7.1000000000000005,3.6,1.8500000000000003,8,8
progress_pos,7.500000000000001,3.8000000000000003,1.9500000000000004,24,8
message_progress_update,8.5,4.300000000000001,2.2,8,8
progress_flush,10.1,5.1000000000000005,2.6,1,8
message_progress_end,10.1,5.1000000000000005,2.6,1,0
vmessage,10.299999999999999,5.2,2.65,16,8
message,10.299999999999999,5.2,2.65,20,8
message_warning,10.299999999999999,5.2,2.65,16,8
message_error,10.299999999999999,5.2,2.65,16,8
message_fatal,10.299999999999999,5.2,2.65,16,8
message_bug,10.299999999999999,5.2,2.65,8,0
message_signal_handler,10.299999999999999,5.2,2.65,8,0
message_strm,10.499999999999998,5.3,2.6999999999999997,4,8
message_mem_needed,11.299999999999999,5.7,2.9,12,0
uint32_to_optstr,11.899999999999999,6.0,3.05,4,8
message_filters_to_str,13.749999999999998,6.95,3.55,13,8
message_filters_show,13.949999999999998,7.05,3.5999999999999996,12,8
message_try_help,13.949999999999998,7.05,3.5999999999999996,8,0
message_version,14.349999999999998,7.25,3.6999999999999997,8,0
message_help,16.349999999999998,8.25,4.199999999999999,1,0
signals_init,0.0,0.0,0.0,8,0
signals_block,0.0,0.0,0.0,8,0
signals_unblock,0.0,0.0,0.0,8,0
signals_exit,0.0,0.0,0.0,8,0
tuklib_cpucores,0.6000000000000001,0.30000000000000004,0.15000000000000002,8,4
tuklib_mbstr_fw,0.6000000000000001,0.30000000000000004,0.15000000000000002,12,8
tuklib_mbstr_width,1.05,0.55,0.30000000000000004,16,8
tuklib_exit,1.2000000000000002,0.6000000000000001,0.30000000000000004,12,0
tuklib_progname_init,0.9,0.5,0.30000000000000004,8,8
tuklib_open_stdxxx,1.05,0.55,0.30000000000000004,4,0
tuklib_physmem,3.6500000000000004,1.85,0.9500000000000001,8,8
sha_min,0.2,0.1,0.05,8,4
store64,0.45,0.25,0.15000000000000002,12,8
load64,0.7,0.4,0.25,8,8
Ch,0.7,0.4,0.25,12,4
Maj,0.7,0.4,0.25,12,4
Rot,0.7,0.4,0.25,8,4
Sh,0.7,0.4,0.25,8,4
Sigma0,0.7,0.4,0.25,4,4
Sigma1,0.7,0.4,0.25,4,4
Gamma0,0.7,0.4,0.25,4,4
Gamma1,0.7,0.4,0.25,4,4
sha_compress,1.95,1.15,0.75,16,8
sha_init,1.95,1.15,0.75,8,8
sortof_strdup,1.95,1.15,0.75,12,8
sha_process,2.8,1.6,1.0,20,8
sha_done,3.75,2.15,1.35,16,8
